half_hour_interval,mean_global_load,variance_global_load,std_global_load,n_samples
00.00,0.762976566361,0.00165595217152,0.0406933922341,186
00.30,0.764712329507,0.00190384702848,0.0436330955638,186
01.00,0.768454210504,0.00178639010212,0.0422657083475,186
01.30,0.765710484754,0.00178519797191,0.0422516031874,186
02.00,0.768076130222,0.00163999684353,0.0404968744909,186
02.30,0.766020730732,0.00152784227818,0.0390876230817,186
03.00,0.772989232019,0.00119665481945,0.0345926989327,186
03.30,0.777899367945,0.00130938178201,0.0361853807775,186
04.00,0.786933682769,0.00139667738998,0.0373721472487,186
04.30,0.792023160817,0.00136351819429,0.0369258472387,186
05.00,0.80214226898,0.00113391192332,0.0336736087065,186
05.30,0.805328711736,0.00107171500649,0.0327370586109,186
06.00,0.810023144875,0.00105082139713,0.0324163754472,186
06.30,0.815340843755,0.000938974356029,0.0306426884596,186
07.00,0.825291456059,0.000868348212828,0.0294677486895,186
07.30,0.829894015193,0.00073270549935,0.0270685333801,186
08.00,0.836719129801,0.000690758985448,0.0262822941435,186
08.30,0.839265124261,0.000709785414036,0.0266417982508,186
09.00,0.845728069185,0.00078299538704,0.0279820547323,186
09.30,0.846996496894,0.000785356949439,0.0280242207642,186
10.00,0.848130027807,0.000833719562964,0.028874202378,186
10.30,0.845755818499,0.000899325607978,0.0299887580266,186
11.00,0.847744715577,0.0010273760725,0.032052707725,186
11.30,0.842985970866,0.00105059694748,0.0324129132828,186
12.00,0.842687469367,0.000961871427162,0.031014052092,186
12.30,0.833401160779,0.000989670463468,0.03145902833,186
13.00,0.832786126218,0.00122719202765,0.0350313006845,186
13.30,0.828068820062,0.00160049639986,0.0400062045171,186
14.00,0.826061611052,0.00194539682953,0.0441066528942,186
14.30,0.814101665661,0.00242501977141,0.0492444897568,186
15.00,0.807285786816,0.002927296908,0.0541044998868,186
15.30,0.795612135949,0.00293513438772,0.0541768805647,186
16.00,0.786225377513,0.00324455736253,0.0569610161648,186
16.30,0.782124102442,0.00325206865743,0.0570269116947,186
17.00,0.778302771595,0.00294239573902,0.0542438543894,186
17.30,0.771632719072,0.00299501055597,0.0547266896128,186
18.00,0.769871577697,0.00293518047669,0.0541773059194,186
18.30,0.75874563938,0.00365833180546,0.060484145075,186
19.00,0.762923638024,0.00332451587966,0.0576586149648,186
19.30,0.757429611613,0.0034163482721,0.0584495361153,186
20.00,0.75970353316,0.00310255071894,0.0557005450507,186
20.30,0.754818004995,0.00259090245101,0.0509009081551,186
21.00,0.758340917512,0.00215710749133,0.046444671291,186
21.30,0.757077113053,0.00250851940848,0.0500851216279,186
22.00,0.757547966012,0.00214001931671,0.0462603428079,186
22.30,0.758869775095,0.00191494283469,0.0437600598114,186
23.00,0.764310144165,0.00159352789487,0.0399190167072,186
23.30,0.760025615905,0.00174019265276,0.0417156164136,186
