day,hour,mean_global_load,variance_global_load,std_global_load,min_global_load,max_global_load,n_samples
1,00:00,0.742774566916,0.00853687659739,0.0923952195592,0.552839102741,0.943904420289,32
1,01:00,0.750735246224,0.0078907027017,0.0888296273869,0.52842166174,0.933037384672,32
1,02:00,0.75778629347,0.00684189439048,0.0827157445138,0.545947093395,0.925675431828,32
1,03:00,0.772757575849,0.00537255316582,0.0732977023229,0.620959999634,0.922982846043,32
1,04:00,0.792420880495,0.00665392823525,0.0815716141513,0.618394326721,0.929153072665,32
1,05:00,0.809470003028,0.00577581142214,0.0759987593461,0.631571912669,0.931458881893,32
1,06:00,0.825733530259,0.00508014154548,0.0712751116834,0.654819050876,0.943124163714,32
1,07:00,0.838418017949,0.00476908829714,0.069058585977,0.644205188186,0.947810846683,32
1,08:00,0.844612325346,0.00406179879335,0.063732242965,0.652983247685,0.949180295566,32
1,09:00,0.854770019459,0.00393895173468,0.0627610686229,0.633261617664,0.950133380945,32
1,10:00,0.859271194607,0.00349391964018,0.0591093870733,0.705074190959,0.947695117372,32
1,11:00,0.852730705886,0.00386321960692,0.0621548035708,0.676116191044,0.945750962763,32
1,12:00,0.845439888639,0.00364383155207,0.0603641578428,0.679473181211,0.925115389507,32
1,13:00,0.829875780836,0.00467582998904,0.0683800408675,0.621552635101,0.937098253828,32
1,14:00,0.812052216002,0.00655030177777,0.080933934649,0.557772666719,0.920229146924,32
1,15:00,0.78993445816,0.0079478288219,0.089150596307,0.52589875086,0.932614424216,32
1,16:00,0.777027165479,0.00933259761328,0.0966053705199,0.557097922392,0.919851074599,32
1,17:00,0.770766995186,0.00992115939206,0.099605016902,0.502864161158,0.912636629386,32
1,18:00,0.755213851652,0.0094691171605,0.097309388861,0.504439124895,0.901616044818,32
1,19:00,0.75518577281,0.0121482179645,0.110218954652,0.482073769626,0.942444113401,32
1,20:00,0.76335870421,0.0136518001088,0.116840917956,0.438438612295,0.945492891972,32
1,21:00,0.759985143679,0.0132886091541,0.115276229788,0.413031567123,0.936440040345,32
1,22:00,0.753086561819,0.0111529027818,0.105607304586,0.444596085452,0.961396895877,32
1,23:00,0.761125617845,0.00954941604283,0.097721113598,0.554081078005,0.969914512845,32
2,00:00,0.769252369415,0.00843842763309,0.0918609146105,0.542151142934,0.957765974469,32
2,01:00,0.768670402234,0.00834388935708,0.0913448923426,0.529986481527,0.963103621009,32
2,02:00,0.766212057504,0.00637445271313,0.0798401697964,0.576216132795,0.944583488984,32
2,03:00,0.772020219899,0.00513134049785,0.071633375586,0.588735969917,0.923478831383,32
2,04:00,0.789032868758,0.0061275945731,0.0782789535769,0.581427851287,0.9557460208,32
2,05:00,0.814078696193,0.00557321596952,0.0746539749077,0.596189583329,0.966990417132,32
2,06:00,0.825863563735,0.00486532316769,0.0697518685605,0.623539713514,0.975712008929,32
2,07:00,0.829311135335,0.00369335851342,0.0607730080992,0.666363099508,0.917964049869,32
2,08:00,0.83921816801,0.00383107126916,0.0618956482248,0.721073384444,0.949009991451,32
2,09:00,0.8437037046,0.00385115498611,0.0620576746753,0.700027442233,0.960665443346,32
2,10:00,0.859036487666,0.00374529541596,0.0611988187465,0.700100996924,0.949615208712,32
2,11:00,0.858050066317,0.0048748434637,0.0698200792301,0.681483869372,0.963932361171,32
2,12:00,0.850988350063,0.00607587239514,0.0779478825571,0.608136880352,0.949403784102,32
2,13:00,0.836488453855,0.00597078709101,0.0772708683205,0.59011269319,0.963082128404,32
2,14:00,0.842455973138,0.00548264345041,0.0740448745722,0.667757265504,0.963326120171,32
2,15:00,0.830194238992,0.00577459611234,0.0759907633357,0.607281624109,0.931393480846,32
